"n_1"	"mean_1"	"sd_1"	"n_2"	"mean_2"	"sd_2"	"time"	"lower_1"	"upper_1"	"lower_2"	"upper_2"
2	NA	NA	2	NA	NA	-105	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-102	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-99	NA	NA	NA	NA
2	NA	NA	2	NA	NA	-96	NA	NA	NA	NA
3	NA	NA	3	NA	NA	-93	NA	NA	NA	NA
4	NA	NA	4	NA	NA	-90	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-87	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-84	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-81	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-78	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-75	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-72	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-69	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-66	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-63	NA	NA	NA	NA
5	NA	NA	5	NA	NA	-60	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-57	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-54	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-51	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-48	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-45	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-42	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-39	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-36	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-33	NA	NA	NA	NA
6	NA	NA	6	NA	NA	-30	NA	NA	NA	NA
7	NA	NA	7	NA	NA	-27	NA	NA	NA	NA
7	NA	NA	7	NA	NA	-24	NA	NA	NA	NA
7	NA	NA	7	NA	NA	-21	NA	NA	NA	NA
7	NA	NA	7	NA	NA	-18	NA	NA	NA	NA
8	NA	NA	8	NA	NA	-15	NA	NA	NA	NA
8	NA	NA	8	NA	NA	-12	NA	NA	NA	NA
8	NA	NA	8	NA	NA	-9	NA	NA	NA	NA
8	NA	NA	8	NA	NA	-6	NA	NA	NA	NA
8	NA	NA	8	NA	NA	-3	NA	NA	NA	NA
8	1	0	8	1	0	0	1	1	1	1
9	1.04373371492742	0.0610252152827476	9	1.05074251170973	0.0700950147611815	3	1.02339197649984	1.064075453355	1.02737750678934	1.07410751663012
9	1.12994115480951	0.173114223617436	9	1.15977621539951	0.183513077319436	6	1.0722364136037	1.18764589601532	1.09860518962637	1.22094724117266
8	1.23630238102505	0.175397523990583	8	1.35794675816113	0.332964579055661	9	1.17428999171651	1.29831477033358	1.24022600228853	1.47566751403372
8	1.22117553458483	0.160206291407493	8	1.44982960380742	0.340937541687135	12	1.16453405706334	1.27781701210632	1.3292899799634	1.57036922765144
8	1.24978008532142	0.163532582971319	8	1.50488288361638	0.390899957271241	15	1.19196258613943	1.3075975845034	1.36667887834037	1.6430868888924
7	1.13028671158549	0.173380759082485	7	1.35539595698823	0.372751573924406	18	1.06475494434894	1.19581847882204	1.21450910478653	1.49628280918992
7	1.155420514868	0.231539137092567	7	1.39055825185134	0.469362247724308	21	1.0679069469358	1.2429340828002	1.2131559972398	1.56796050646289
5	1.1072673908481	0.231703763035559	5	1.32672201262098	0.486849676244074	24	1.0036463178901	1.21088846380611	1.10899621843988	1.54444780680208
5	1.14855337841966	0.197820887251011	5	1.42610687843555	0.392815005589108	27	1.06008518816714	1.23702156867217	1.25043466741971	1.60177908945139
5	1.16262001447121	0.260520553907317	5	1.5148583107717	0.582357971116836	30	1.04611168085668	1.27912834808574	1.25441990864048	1.77529671290293
5	1.19165266448855	0.263949367711912	5	1.60234410866153	0.518833474875504	33	1.07361091872416	1.30969441025293	1.37031472489672	1.83437349242634
4	1.24848650669943	0.277002627620469	4	1.68304483639803	0.662917156897899	36	1.1099851928892	1.38698782050967	1.35158625794908	2.01450341484698
4	1.2871017668381	0.249162842954626	4	1.74901769578172	0.552069237582379	39	1.16252034536079	1.41168318831541	1.47298307699053	2.02505231457291
4	1.30729729358595	0.241029077237966	4	1.79283060005736	0.552800022508921	42	1.18678275496696	1.42781183220493	1.5164305888029	2.06923061131182
3	1.31264768169427	0.250397981086563	3	1.76984698814319	0.580938758425255	45	1.16808033990941	1.45721502347914	1.43444183958368	2.1052521367027
3	1.24255483533726	0.260095758735395	3	1.64007319318452	0.560183031283808	48	1.0923884790163	1.39272119165822	1.31665136927736	1.96349501709169
3	1.23636204272545	0.305865784445574	3	1.64884694640893	0.555905007091645	51	1.0597703497399	1.412953735711	1.32789504092071	1.96979885189715
3	1.2265106849597	0.28256642710008	3	1.6416617515892	0.504570140908574	54	1.06337088220952	1.38965048770989	1.35034804491058	1.93297545826781
2	1.11216449433112	0.186883457693698	2	1.45316268149518	0.105905847224129	57	0.980017934104316	1.24431105455792	1.37827593875569	1.52804942423467
2	1.0797765821703	0.280225341836847	2	1.39589492704037	0.385067501580473	60	0.881627342697151	1.27792582164346	1.12361108545825	1.66817876862248
