"n_1"	"mean_1"	"sd_1"	"n_2"	"mean_2"	"sd_2"	"time"	"lower_1"	"upper_1"	"lower_2"	"upper_2"
1	NA	NA	1	NA	NA	-105	NA	NA	NA	NA
2	1.13661991884761	0.171340029653213	2	1.11850274609946	0.135785943313129	-102	1.01546422199112	1.2577756157041	1.02248758479294	1.21451790740599
2	1.14236848735884	0.21724335318417	2	1.09390745292737	0.0444939112671662	-99	0.988754239154608	1.29598273556307	1.06244550654885	1.1253693993059
3	1.09963632842643	0.115814745860276	3	0.978919821345895	0.182788099464905	-96	1.03277065372787	1.16650200312499	0.873387062915173	1.08445257977662
4	1.05871998075302	0.101653427727843	4	0.897633575053658	0.2433780716697	-93	1.0078932668891	1.10954669461695	0.775944539218808	1.01932261088851
4	1.0989218879014	0.134742409636803	4	0.942129217915394	0.256178972130141	-90	1.031550683083	1.1662930927198	0.814039731850324	1.07021870398046
5	1.10935809520563	0.0969381202085405	5	0.933572104305961	0.201933384854321	-87	1.06600604992616	1.1527101404851	0.843264749213783	1.02387945939814
5	1.09944593814873	0.0959725967058553	5	0.935033848805674	0.206235564229222	-84	1.05652568810644	1.14236618819102	0.842802500606762	1.02726519700459
5	1.10936918540314	0.101589684985991	5	0.958083447217957	0.187439520398774	-81	1.06393689711484	1.15480147369143	0.874257945361634	1.04190894907428
6	1.09987441807169	0.0989858299408154	6	0.95130467503933	0.172848201584547	-78	1.05946362221821	1.14028521392518	0.880739692232686	1.02186965784597
6	1.10294196119642	0.115909782722493	6	0.964070955037798	0.180738693263797	-75	1.05562199055193	1.15026193184092	0.89028469249218	1.03785721758342
6	1.12899713300235	0.11926141242672	6	1.00197328992106	0.183550391403158	-72	1.08030886526084	1.17768540074386	0.927039156416743	1.07690742342537
6	1.13506276922346	0.120199233564372	6	1.03356023366078	0.181088022543856	-69	1.08599163760574	1.18413390084118	0.959631358033772	1.10748910928779
7	1.11138191814689	0.103638317994009	7	1.00779901762255	0.194552893021481	-66	1.07221031590273	1.15055352039106	0.934264935939263	1.08133309930583
7	1.10569857885668	0.0940845952707594	7	1.00618868163571	0.174977354946597	-63	1.07013794438688	1.14125921332648	0.940053457884775	1.07232390538665
7	1.12199221313511	0.0826524955706985	7	1.02667338600863	0.150044616303439	-60	1.09075250620384	1.15323192006639	0.969961851679627	1.08338492033763
7	1.09916366774741	0.0768032243772888	7	0.987314573180951	0.129729446434133	-57	1.07013477752024	1.12819255797458	0.938281451325695	1.03634769503621
7	1.10904942190823	0.069879690801493	7	0.991276995684928	0.100057706570154	-54	1.0826373814004	1.13546146241607	0.953458737350628	1.02909525401923
7	1.09597718071262	0.0625942171533573	7	0.979251503920783	0.0925375611039206	-51	1.07231879041283	1.11963557101241	0.944275593404581	1.01422741443699
9	1.10663688595875	0.0558475263052586	9	0.972277715565539	0.0769266201851883	-48	1.088021043857	1.12525272806051	0.946635508837143	0.997919922293935
9	1.09513530494933	0.0469374340602797	9	0.977588585863373	0.0727600420342973	-45	1.07948949359591	1.11078111630276	0.953335238518608	1.00184193320814
9	1.08974109051957	0.0503689029782389	9	0.978047931383043	0.0608555786337654	-42	1.07295145619349	1.10653072484565	0.957762738505121	0.998333124260965
9	1.08033017358738	0.0363238085995849	9	0.982877577684835	0.0654997205931537	-39	1.06822223738752	1.09243810978725	0.961044337487117	1.00471081788255
11	1.07058944891062	0.0662574496373202	11	0.970688640463967	0.105269178102086	-36	1.05061207618218	1.09056682163907	0.938948789031811	1.00242849189612
11	1.04590516411966	0.0663131682505869	11	0.947770909252455	0.108385929952337	-33	1.02591099159721	1.0658993366421	0.915091321779214	0.980450496725695
11	1.04677321078484	0.0479316008663075	11	0.956828963749022	0.0725171073536542	-30	1.03232128935988	1.06122513220981	0.934964233205932	0.978693694292113
12	1.03498601239122	0.0562600601245093	12	0.957899347332788	0.0850570303195549	-27	1.01874513196246	1.05122689281997	0.933345497657056	0.982453197008521
12	1.03676457781602	0.0426261513344106	12	0.977205997464693	0.0688190364206452	-24	1.0244594678423	1.04906968778974	0.957339652863278	0.997072342066109
12	1.04515596676876	0.0471512529154567	12	0.990403004386162	0.065802866271325	-21	1.03154457248708	1.05876736105044	0.971407353108563	1.00939865566376
14	1.03387269101494	0.0493624795024715	14	0.983217288567777	0.0589777743996729	-18	1.02068001343923	1.04706536859065	0.967454815336489	0.998979761799064
14	1.01990817921783	0.0550467700999039	14	0.968710685694779	0.072706561869529	-15	1.00519631107767	1.034620047358	0.949279039674346	0.988142331715212
14	1.0247924945994	0.0572101414801883	14	0.990988940144148	0.0607364111526935	-12	1.00950244113742	1.04008254806138	0.974756451470175	1.00722142881812
14	1.01399281440681	0.0547203367828747	14	0.98497495702686	0.0501347359114426	-9	0.999368189240354	1.02861743957327	0.971575885244216	0.998374028809503
14	1.01238351830718	0.0556388487844672	14	0.991120310715642	0.0523231246080572	-6	0.997513410482464	1.02725362613189	0.977136367452154	1.00510425397913
14	1.0074916066359	0.0457939356290605	14	0.987913158670303	0.0434345834780889	-3	0.995252662527616	1.01973055074418	0.976304777948	0.999521539392606
14	1	0	14	1	0	0	1	1	1	1
14	0.988940968386479	0.0538776726053383	14	0.997763030668054	0.0726161012199284	3	0.974541554694625	1.00334038207833	0.978355561273177	1.01717050006293
14	1.02235742534008	0.11297192900347	14	1.02974674103925	0.129414971358566	6	0.992164407293369	1.05255044338679	0.995159135071898	1.0643343470066
14	1.05562899995412	0.181343455395511	14	1.05229651375241	0.179668088271071	9	1.00716292285242	1.10409507705581	1.00427819734905	1.10031483015577
