"n_1"	"mean_1"	"sd_1"	"n_2"	"mean_2"	"sd_2"	"time"	"lower_1"	"upper_1"	"lower_2"	"upper_2"
2	0.991776281052017	0	2	0.908172548068568	0	-93	0.991776281052017	0.991776281052017	0.908172548068568	0.908172548068568
2	0.981565540253832	0	2	0.937782916244581	0	-90	0.981565540253832	0.981565540253832	0.937782916244581	0.937782916244581
2	0.970134297844635	0	2	0.926503176970314	0	-87	0.970134297844635	0.970134297844635	0.926503176970314	0.926503176970314
2	0.973442516422161	0	2	0.898192395536944	0	-84	0.973442516422161	0.973442516422161	0.898192395536944	0.898192395536944
2	0.960569328480911	0	2	0.892173316031708	0	-81	0.960569328480911	0.960569328480911	0.892173316031708	0.892173316031708
3	0.959965988745608	0.00566759412147438	3	0.892236326880257	0.000350276507851954	-78	0.956693801753917	0.963238175737298	0.892034094644158	0.892438559116356
4	0.960258724332134	0.00407139707778463	4	0.838805457561324	0.140662297517754	-75	0.958223025793242	0.962294422871026	0.768474308802447	0.909136606320201
4	0.961305179417566	0.00436659263464589	4	0.879078258025869	0.159332298642769	-72	0.959121883100243	0.963488475734889	0.799412108704485	0.958744407347254
4	0.961167995775193	0.00589284769952734	4	0.881985068906309	0.143755179084025	-69	0.958221571925429	0.964114419624956	0.810107479364296	0.953862658448321
4	0.961901576849162	0.00910840728754791	4	0.884623091592807	0.129953482558454	-66	0.957347373205388	0.966455780492936	0.81964635031358	0.949599832872034
4	0.960011157324033	0.00973187173091555	4	0.883603822937503	0.130743140653912	-63	0.955145221458576	0.964877093189491	0.818232252610547	0.948975393264459
5	0.978252745135576	0.0307696320382511	5	0.912579045200871	0.119365337572438	-60	0.964492147359539	0.992013342911613	0.859197243407035	0.965960846994707
5	0.978749274515161	0.0285174144771087	5	0.898116198450533	0.110426086697168	-57	0.965995899052491	0.991502649977831	0.848732151181702	0.947500245719364
5	0.971482643267255	0.0315091403678731	5	0.905056361343511	0.071776060710889	-54	0.957391327312225	0.985573959222284	0.872957131162171	0.937155591524851
5	0.979224500958049	0.0300874098468313	5	0.922785681911017	0.0758200169396008	-51	0.965769002221167	0.992679999694931	0.88887793952459	0.956693424297444
5	0.981631142156262	0.0297477791376956	5	0.94647857702391	0.0893953018640761	-48	0.968327530889955	0.99493475342257	0.906499782656472	0.986457371391347
5	0.983894915303601	0.0298130357982512	5	0.936386849731358	0.0761241138760808	-45	0.970562120371496	0.997227710235706	0.902343111060587	0.970430588402128
5	0.989324783219303	0.0311426640922833	5	0.980779722687651	0.0601354240052682	-42	0.975397360437145	1.00325220600146	0.95388634350134	1.00767310187396
5	0.990416115988004	0.0343931171285705	5	0.958862401894984	0.0679939178817341	-39	0.975035046416485	1.00579718555952	0.928454597406965	0.989270206383003
5	0.994406346945275	0.0364664717641592	5	0.971543831391053	0.0578414328262023	-36	0.978098044992428	1.01071464889812	0.945676356247978	0.997411306534128
5	0.995543693540588	0.0401241316793729	5	0.970351456043485	0.079408373204289	-33	0.977599636345942	1.01348775073523	0.934838951949993	1.00586396013698
5	0.999129069314959	0.0429785943463669	5	0.984351554814134	0.106899812204505	-30	0.979908457607786	1.01834968102213	0.936544505439887	1.03215860418838
7	0.984932739299007	0.0378716722057564	7	0.965820601972534	0.0823326750504199	-27	0.97061859267178	0.999246885926234	0.934701775835662	0.996939428109406
7	0.966472302765747	0.0103789874116066	7	0.944880642314816	0.0862582474345693	-24	0.96254941425835	0.970395191273144	0.912278089280509	0.977483195349122
7	0.982682174832585	0.0396293364117561	7	0.968492502317683	0.0819422917453803	-21	0.96770369358001	0.99766065608516	0.937521227200972	0.999463777434394
7	0.985564129036266	0.0413163008782311	7	0.991022840716754	0.113506519265975	-18	0.969948035148135	1.0011802229244	0.948121408979278	1.03392427245423
9	0.985827299544989	0.0348639435926425	9	1.00963511777482	0.112500556016365	-15	0.974205985014109	0.99744861407587	0.97213493243603	1.04713530311361
12	0.988953713662303	0.0296405988383175	12	0.986177006282771	0.115875154675544	-12	0.98039720980318	0.997510217521425	0.952726730410614	1.01962728215493
12	0.988640874536146	0.0313335473806829	12	1.00029845777638	0.143994190061142	-9	0.979595658528695	0.997686090543598	0.958730915579612	1.04186599997315
12	0.990005967054938	0.0314601885239221	12	0.985810771492811	0.112212351845351	-6	0.980924192898416	0.999087741211459	0.953417855720654	1.01820368726497
