"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
4	NA	NA	NA	9	-90
5	NA	NA	NA	12	-87
6	NA	NA	NA	15	-84
7	NA	NA	NA	18	-81
8	NA	NA	NA	21	-78
9	NA	NA	NA	24	-75
10	NA	NA	NA	27	-72
11	NA	NA	NA	30	-69
12	NA	NA	NA	33	-66
13	NA	NA	NA	36	-63
14	NA	NA	NA	39	-60
15	NA	NA	NA	42	-57
16	NA	NA	NA	45	-54
17	NA	NA	NA	48	-51
18	NA	NA	NA	51	-48
19	NA	NA	NA	54	-45
20	NA	NA	NA	57	-42
21	NA	NA	NA	60	-39
22	NA	NA	NA	63	-36
23	NA	NA	NA	66	-33
24	NA	NA	NA	69	-30
25	NA	NA	NA	72	-27
26	NA	NA	NA	75	-24
27	NA	NA	NA	78	-21
28	NA	NA	NA	81	-18
29	NA	NA	NA	84	-15
30	NA	NA	NA	87	-12
31	NA	NA	NA	90	-9
32	NA	NA	NA	93	-6
33	NA	NA	NA	96	-3
34	1.21165294331441	1.49680501448385	0.893733497689211	99	0
35	1.18279229291194	1.3595968124967	0.906749015838861	102	3
36	0.997380461018275	0.998856545125447	0.881756265218668	105	6
