Experiment	Cell	Class	Fate
BAF_control_20211026_02	1	0	0
BAF_control_20211026_09	2	0	0
BAF_control_20211026_10	3	0	0
BAF_control_20211026_11	4	0	0
BAF_control_20211026_12	5	0	0
BAF_control_20211026_13	5	0	0
BAF_control_20211026_13	6	0	0
BAF_control_20211026_14	7	0	0
BAF_control_20211026_18	8	0	0
BAF_control_20211112_04_01	9	0	0
BAF_control_20211112_04_02	10	0	0
BAF_control_20211112_04_02	11	0	0
BAF_control_20211112_04_02	12	0	0
BAF_control_20211112_04_02	13	0	0
BAF_control_20211112_04_02	14	0	0
BAF_control_20211112_04_02	15	0	0
BAF_control_20211112_04_06	16	0	0
BAF_control_20211112_04_06	17	0	0
BAF_control_20211112_04_07	18	0	0
BAF_control_20211112_04_07	19	0	0
BAF_control_20211112_04_07	20	0	0
BAF_control_20211112_04_08	21	0	0
BAF_control_20211112_04_08	22	0	0
BAF_control_20211112_04_08	23	0	0
BAF_control_20211112_04_09	24	0	0
BAF_control_20211112_04_09	25	0	0
BAF_control_20211112_04_10	26	0	0
BAF_control_20211112_04_10	27	0	0
BAF_control_20211112_04_10	28	0	0
BAF_control_20211112_04_11	29	0	0
BAF_control_20211112_04_11	30	0	0
BAF_control_20211112_04_11	31	0	0
BAF_control_20211112_04_11	32	0	0
BAF_control_20211112_04_12	33	0	0
BAF_control_20211112_04_14	34	0	0
BAF_control_20211112_04_15	35	0	0
BAF_control_20211112_04_15	36	1	3
BAF_control_20211112_04_16	37	1	2
BAF_control_20211112_04_16	38	0	0
BAF_control_20211112_04_17	39	0	0
BAF_control_20211112_04_17	40	0	0
BAF_control_20211112_04_17	41	0	0
BAF_control_20211112_04_17	42	0	0
BAF_control_20211112_04_18	43	0	0
BAF_control_20211112_04_18	44	0	0
BAF_control_20211112_04_19	45	0	0
BAF_control_20211112_04_19	46	0	0
BAF_control_20211112_04_20	47	0	0
BAF_control_20211112_04_20	48	0	0
BAF_control_20211112_04_20	49	0	0
BAF_sec61bgfp_bafmcherry_06_01	50	0	0
BAF_sec61bgfp_bafmcherry_06_02	51	0	0
BAF_sec61bgfp_bafmcherry_06_05	52	0	0
BAF_sec61bgfp_bafmcherry_06_06	53	0	0
BAF_sec61bgfp_bafmcherry_06_07	54	0	0
BAF_sec61bgfp_bafmcherry_06_07	55	0	0
BAF_sec61bgfp_bafmcherry_06_09	56	0	0
BAF_sec61bgfp_bafmcherry_06_11	57	0	0
BAF_sec61bgfp_bafmcherry_06_13	58	0	0
BAF_sec61bgfp_bafmcherry_06_15	59	0	0
BAF_sec61bgfp_bafmcherry_06_16	60	0	0
BAF_sec61bgfp_bafmcherry_06_16	61	0	0
BAF_sec61bgfp_bafmcherry_06_18	62	0	0
BAF_sec61bgfp_bafmcherry_06_20	63	0	0
BAF_sec61bgfp_bafmcherry_06_20	64	0	0
BAF_sec61bgfp_bafmcherry_06_20	65	0	0
LBR_control02_01	1	0	0
LBR_control02_01	2	0	0
LBR_control02_01	3	0	0
LBR_control02_01	4	0	0
LBR_control02_01	5	0	0
LBR_control02_02	6	0	0
LBR_control02_02	7	0	0
LBR_control02_02	8	0	0
LBR_control02_02	9	0	0
LBR_control02_02	10	0	0
LBR_control02_03	11	0	0
LBR_control02_03	12	0	0
LBR_control02_04	13	0	0
LBR_control02_04	14	0	0
LBR_control02_04	15	1	3
LBR_control02_05	16	0	0
LBR_control02_05	17	0	0
LBR_control02_06	18	0	0
LBR_control02_07	19	0	0
LBR_control02_07	20	0	0
LBR_control02_07	21	1	2
LBR_control02_08	22	0	0
LBR_control02_08	23	1	0
LBR_control02_08	24	0	0
LBR_control02_08	25	0	0
LBR_control02_09	26	0	0
LBR_control02_09	27	0	0
LBR_control02_09	28	0	0
LBR_control02_10	29	0	0
LBR_control02_10	30	0	0
LBR_control02_10	31	0	0
LBR_control02_11	32	0	0
LBR_control02_11	33	0	0
LBR_control02_11	34	0	0
LBR_control02_11	35	1	2
LBR_control02_12	36	0	0
LBR_control02_12	37	0	0
LBR_control02_12	38	0	0
LBR_control02_13	39	1	3
LBR_control02_13	40	0	0
LBR_control02_13	41	0	0
LBR_control02_14	42	0	0
LBR_control02_14	43	0	0
LBR_control02_15	44	0	0
LBR_control02_16	45	0	0
LBR_control02_16	46	0	0
LBR_control02_17	47	0	0
LBR_control02_18	48	0	0
LBR_control02_18	49	0	0
LBR_control02_18	50	0	0
LBR_control02_18	51	0	0
