Experiment	Cell	Class	Fate
Control	0	0	0
Control	1	2	2
Control	1	1	0
Control	0	0	0
Control	1	2	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	1	1	0
Control	1	2	1
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	1	2	1
Control	1	2	2
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	1	1	2
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	1	1	0
Control	1	1	2
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	1	2	1
GSK	1	2	1
GSK	1	2	2
GSK	1	2	1
GSK	1	2	1
GSK	1	2	2
GSK	0	0	0
GSK	1	2	0
GSK	1	2	2
GSK	1	2	1
GSK	1	1	0
GSK	0	0	0
GSK	1	2	2
GSK	1	2	1
GSK	0	0	0
GSK	1	2	2
GSK	1	0	2
GSK	1	1	2
GSK	1	2	1
GSK	1	2	2
GSK	1	2	1
GSK	1	2	0
GSK	1	2	3
GSK	1	2	3
GSK	1	0	0
GSK	1	1	2
GSK	1	2	2
GSK	1	2	0
GSK	1	2	1
GSK	1	2	3
GSK	1	2	2
GSK	0	0	0
GSK	1	2	1
GSK	1	2	2
GSK	1	2	1
GSK	1	2	2
GSK	1	2	2
GSK	1	2	2
GSK	1	2	3
GSK	1	2	2
GSK	1	2	1
GSK	1	2	1
GSK	0	0	0
GSK	0	0	0
GSK	1	1	0
