"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	210.0458	232.6216	304.4632	0	-12
2	208.8528	231.1166	309.5026	3	-9
3	208.834	242.4106	312.86	6	-6
4	209.784666666667	267.922	315.627166666667	9	-3
5	211.545	239.0586	296.671	12	0
6	210.744428571429	293.071857142857	344.951285714286	15	3
7	932.406666666667	461.524166666667	385.007	18	6
8	722.658666666667	463.091166666667	357.637	21	9
9	458.221833333333	435.102	334.767	24	12
10	358.284833333333	439.291	322.685	27	15
11	315.6242	446.4522	314.0918	30	18
12	302.987	446.9332	313.1634	33	21
13	292.4256	445.0556	308.9684	36	24
14	280.4295	440.018	303.732333333333	39	27
15	274.129	448.021666666667	298.369666666667	42	30
16	268.991333333333	463.8945	297.848666666667	45	33
17	272.8892	491.1894	307.5894	48	36
18	268.7026	495.5482	310.077	51	39
19	262.681	497.5228	306.2256	54	42
20	263.6615	526.62325	309.4455	57	45
21	254.419	492.0704	305.1874	60	48
22	257.939	508.6996	309.624	63	51
23	250.7586	497.2706	307.5676	66	54
24	245.8562	492.2624	306.6026	69	57
25	255.98975	529.43125	314.7005	72	60
26	253.68025	523.015	314.4715	75	63
27	244.49925	504.4995	306.68225	78	66
