"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	NA	NA	NA	0	-12
2	NA	NA	NA	3	-9
3	NA	NA	NA	6	-6
4	NA	NA	NA	9	-3
5	230.796610169492	364.152542372881	235.593220338983	12	0
6	239.087962962963	414.62037037037	235.828703703704	15	3
7	259.651515151515	497.775401069519	233.614081996435	18	6
8	220.217391304348	382.95652173913	229	21	9
9	265.984290181363	460.452224306858	224.149726912654	24	12
10	277.907894736842	514.841187270502	221.884944920441	27	15
11	256.509971509971	507.217948717949	232.876068376068	30	18
12	273.32196969697	538.390442890443	238.102272727273	33	21
13	265.449741602067	553.938827365572	229.987732250523	36	24
14	270.40758873929	582.301713586291	232.438494492044	39	27
15	263.760365806402	742.453072928776	234.5748856855	42	30
16	270.555813953488	835.149612403101	227.241343669251	45	33
17	267.760936737681	892.701808471273	237.955204216074	48	36
18	270.388411138411	729.02213008463	237.870939120939	51	39
19	272.025581395349	800.147545219638	241.296640826873	54	42
20	263.89621749409	750.806855791962	242.947044917258	57	45
21	260.032156673114	753.153529980658	244.621615087041	60	48
22	269.720930232558	726.011627906977	245.720930232558	63	51
23	265.272172861892	875.054527859236	245.792079846981	66	54
24	253.368051725195	827.988754060183	236.491511920083	69	57
25	242.086224929248	743.533815851922	234.185527957953	72	60
26	239.47964559387	794.569444444444	235.492097701149	75	63
27	237.498608534323	761.53354978355	233.489950525665	78	66
