"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
10	NA	NA	NA	27	-60
11	NA	NA	NA	30	-57
12	NA	NA	NA	33	-54
13	NA	NA	NA	36	-51
14	NA	NA	NA	39	-48
15	NA	NA	NA	42	-45
16	NA	NA	NA	45	-42
17	NA	NA	NA	48	-39
18	NA	NA	NA	51	-36
19	NA	NA	NA	54	-33
20	NA	NA	NA	57	-30
21	NA	NA	NA	60	-27
22	NA	NA	NA	63	-24
23	NA	NA	NA	66	-21
24	NA	NA	NA	69	-18
25	1.03779454932762	0.930462711310804	1.2145287032274	72	-15
26	1.03871359877439	1.05835866188653	1.31596769517715	75	-12
27	1.05496773638395	1.11346119822627	1.24419122585809	78	-9
28	1.0369259361492	1.11154495741754	1.20880680512941	81	-6
29	1.03621468427899	0.994342358026063	1.32255698469571	84	-3
30	NA	NA	NA	87	0
31	1.03139260762051	0.877175605790509	1.20189409035198	90	3
32	1.17329529339475	0.924378976232092	0.935207951525328	93	6
33	0.921931908371579	0.949079436266197	0.961618438842089	96	9
34	0.856923430886844	0.677883446549414	0.937920010224755	99	12
35	0.929428201553559	0.966354148393803	1.00311989282772	102	15
36	0.856418373099421	0.932006919334478	0.913832994338135	105	18
37	0.909158622542087	0.996336267316973	0.921297070218015	108	21
38	0.967983931132294	1.01625894335492	0.893896440942822	111	24
39	1.03444961893459	1.10963841518322	0.939540969154893	114	27
40	1.0706478681	1.31556159209062	0.952831314294788	117	30
41	1.0911744032981	1.30084815626486	1.00191414405291	120	33
42	1.12700336863832	1.33357716402724	1.07935814917091	123	36
43	1.00880092120289	1.21671643472197	0.947980724735553	126	39
44	1.01170365115885	1.27537225232803	0.900132788528486	129	42
45	1.09575357255657	1.20085122117301	0.989377744607859	132	45
46	1.00466382727191	1.02037427505112	0.95070799414581	135	48
47	1.05194386707862	1.00471879414965	0.868633265602887	138	51
48	1.08161491517633	0.951237659950754	0.979983207231085	141	54
49	1.00645564827553	0.895705838820216	0.900298602826882	144	57
50	NA	NA	NA	147	60
51	1.07193200224129	0.902227353146121	0.963682181405973	150	63
