"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
2	NA	NA	NA	3	-96
3	NA	NA	NA	6	-93
4	NA	NA	NA	9	-90
5	NA	NA	NA	12	-87
6	NA	NA	NA	15	-84
7	NA	NA	NA	18	-81
8	1.32546672102253	1.62972071605915	0.755844013854346	21	-78
9	1.36728489506139	1.69648397288941	0.778643454637439	24	-75
10	1.43770208347396	1.76102183270652	0.819015867289499	27	-72
11	1.3286250834006	1.58814998800657	0.823581897999584	30	-69
12	1.50834417286104	1.87148893580367	0.616433863125278	33	-66
13	1.59539886446932	2.0243351348142	0.602964521178723	36	-63
14	1.5701009342989	1.83416304586111	0.645138283746214	39	-60
15	1.61778013403697	1.868045368652	0.647295112325365	42	-57
16	1.49173952440184	1.73410409303734	0.724914271339186	45	-54
17	1.65785435861419	1.98826447216687	0.629973202884515	48	-51
18	1.53053475593406	1.87807292953065	0.64569130057442	51	-48
19	1.45665561721334	1.76191303334643	0.694854467093406	54	-45
20	1.37389147828828	1.67616337894048	0.72956359747937	57	-42
21	1.3360293059274	1.51969003605899	0.75061166741419	60	-39
22	1.29098209081646	1.44490608986553	0.738158607785901	63	-36
23	1.52558909540997	1.84132951344617	0.638293117930185	66	-33
24	1.41635585418861	1.63387962307418	0.679426400461454	69	-30
25	1.51511370360024	1.76996536149102	0.635087502539362	72	-27
26	1.45727926299434	1.67239345315798	0.641837451568294	75	-24
27	1.47865872936915	1.67884842915471	0.645999634787806	78	-21
28	1.50354539262546	1.6743102168118	0.662770526575114	81	-18
29	1.32378007114533	1.47402403355964	0.71654535269443	84	-15
30	1.31791652137912	1.41413135595423	0.704163580940544	87	-12
31	1.32477012713291	1.44399294856003	0.806564905574525	90	-9
32	1.12053036759355	1.21051196096697	0.829329679044858	93	-6
33	1.13300553243326	1.17743488822137	0.749870521029855	96	-3
34	1.48270154948191	1.86475267439751	0.647045820096439	99	0
35	1.1637190562776	1.24632730575244	0.641973029397353	102	3
36	0.973530269192066	1.15610230374908	0.523412655133204	105	6
37	0.78374918083429	1.07802108031517	0.828438886762225	108	9
38	0.647049409854419	0.825937106251007	0.588623405430056	111	12
39	0.707142928314197	0.865045539748675	0.625843265256215	114	15
40	0.789613228198513	0.93117056746408	0.583166739518209	117	18
41	NA	NA	NA	120	21
42	NA	NA	NA	123	24
43	NA	NA	NA	126	27
44	NA	NA	NA	129	30
45	NA	NA	NA	132	33
46	NA	NA	NA	135	36
47	NA	NA	NA	138	39
48	NA	NA	NA	141	42
