"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.09929387983103	1.37169482499965	1.1081196189791	0	-93
2	0.992062255835558	1.05435495053743	1.21359369589347	3	-90
3	0.990668493963497	0.998613007382178	1.14672080695757	6	-87
4	1.04758788386585	1.1641792927009	1.07771966464327	9	-84
5	1.00981542235298	1.04470476589743	1.06559675642497	12	-81
6	1.02144424099018	1.04402738071904	1.03630035325493	15	-78
7	1.07723414452236	1.12091025810715	1.07146733979996	18	-75
8	1.03207602920472	1.07784780389815	1.07967663117436	21	-72
9	1.03392713077002	1.11757095640173	1.04078086824316	24	-69
10	1.01947584758798	1.08790762591452	1.10073808554798	27	-66
11	0.971962966240602	1.01133090643296	1.10402797372352	30	-63
12	0.942589162760013	0.942008062002492	1.15526506687675	33	-60
13	0.916911232764034	0.82698294613841	1.34403577257007	36	-57
14	0.954039382575103	0.90852678203585	1.15443172948149	39	-54
15	0.978450797432075	1.03236162904122	1.10758842308267	42	-51
16	0.991034444350924	0.964435749224931	1.251576641078	45	-48
17	0.972178590623137	0.957121894772879	1.21300443793228	48	-45
18	1.01203213304611	1.06526387508518	1.11130876060371	51	-42
19	1.01150604098245	0.995595634897425	1.21277882661707	54	-39
20	0.98503388433651	0.954959663348085	1.32670520377097	57	-36
21	1.03247382421821	1.13390472171878	1.12579255586582	60	-33
22	0.985174747240762	0.97673090379659	1.53538007872761	63	-30
23	1.02020810673016	1.13316124600581	1.43049231727592	66	-27
24	1.03636471989318	1.12442732976769	1.23340623761867	69	-24
25	1.00954846872243	1.01515537549282	1.40947214683909	72	-21
26	1.01620765739594	0.985476181673957	1.26681404719918	75	-18
27	NA	NA	NA	78	-15
28	0.959238620728695	0.871959860722943	1.5259639646434	81	-12
29	0.98195329598063	0.937406548256488	1.38247644330286	84	-9
30	1.01395004430029	0.993133988475307	1.13943958881231	87	-6
31	1.01965125376499	1.02093750520113	1.09783358810624	90	-3
32	1.07810744144665	1.09477142212342	1.28644865067759	93	0
33	1.05184239751695	1.01510486682121	1.33048091298365	96	3
34	0.996392893410486	1.05682666944242	1.12954664030789	99	6
35	1.0772665290881	1.4772241719866	1.02286062954026	102	9
36	1.10586604731062	1.59024545336291	1.03159506408439	105	12
37	1.07303428571063	1.65008431775688	0.964370461657111	108	15
38	1.11259105198562	1.95434547245703	0.950114459832527	111	18
39	1.07455209319369	1.69792653853306	0.966676207856802	114	21
40	1.03971617260121	1.60717664278787	0.962062711403278	117	24
41	1.07641715356478	1.71766515813555	0.952263848681665	120	27
42	1.07581787563543	1.74800627074542	0.969942876180506	123	30
43	0.996072026066868	1.23109697262388	0.976198227450086	126	33
44	1.00691865685599	1.39851123232216	0.977182389458562	129	36
45	1.01940622469519	1.48888569949704	0.993874109336403	132	39
46	1.01036604755262	1.46247297112232	0.982826834910891	135	42
47	1.0056768984019	1.28276528186803	0.989367530441538	138	45
48	0.990523890035645	1.11152937776327	1.00552147828305	141	48
49	1.00205511154636	1.10924330440784	0.978773726705464	144	51
