"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
1	1.1634274801888	1.21109439833487	1.01125637164841	0	-87
2	1.12925706585525	1.1757005973798	1.00632183999471	3	-84
3	1.24186702238561	1.42809225161819	0.995446813585316	6	-81
4	1.27912594832184	1.39517434564373	0.980143606232887	9	-78
5	1.20693927550973	1.30925220500576	1.00543369411629	12	-75
6	1.17775518174935	1.21562602233818	1.00429373814877	15	-72
7	1.18090078253249	1.20225627735992	0.996459750832112	18	-69
8	1.20950235383567	1.26898195735788	1.00478371906335	21	-66
9	1.23414437937417	1.31578809204817	1.03934690359101	24	-63
10	1.17712194765935	1.23776711216538	1.00103782792865	27	-60
11	1.1837174674575	1.27645275917812	1.00862361572035	30	-57
12	1.14085313931795	1.22385804462243	1.00473975510231	33	-54
13	1.19011284338338	1.26842581600914	0.992831607070504	36	-51
14	1.25067050749789	1.40487580292314	0.983402932591718	39	-48
15	1.21033996516267	1.28588582477274	0.996859474147079	42	-45
16	1.1814344740745	1.25680529706988	1.00308968511118	45	-42
17	1.2839048436824	1.42309193780772	1.00907036252234	48	-39
18	1.20877902870968	1.29934938458715	0.99480898551137	51	-36
19	1.23792477545821	1.34784107185299	1.00075717186648	54	-33
20	1.21264465003835	1.30542224815478	0.989841511871425	57	-30
21	1.25524093219825	1.38533196517542	1.00249913622512	60	-27
22	1.21003873029245	1.2847906427029	0.995284616190906	63	-24
23	1.18448193901748	1.24763523245642	0.990481302724174	66	-21
24	1.21075973313209	1.29768055487696	0.989225524090435	69	-18
25	1.2376459356211	1.36713024797971	0.995713163862129	72	-15
26	1.25555116497535	1.32809754377289	0.992062051885227	75	-12
27	1.27107403297298	1.37406584745951	1.01943086576773	78	-9
28	1.24277911893781	1.33782082490532	1.02047915152835	81	-6
29	1.26182855389826	1.40291835721808	0.985645952486585	84	-3
30	1.16836554792444	1.24188954914734	1.00940578694322	87	0
31	1.01809824471679	1.01964344354884	1.02201617808087	90	3
32	1.1069993076146	1.19560803702355	1.03308052720104	93	6
33	1.11244552236743	1.20099811995104	0.98252065295261	96	9
34	1.02653623243704	1.13842893978163	1.02844315749804	99	12
35	0.964794020883957	1.09475759228319	0.992673397085662	102	15
36	0.94011789386835	1.12028039918034	1.03747444042806	105	18
37	1.12183963406104	1.54770771185225	1.07866660045709	108	21
38	1.05122587086225	1.47383909260873	0.999041304505236	111	24
39	0.9767896582266	1.30864171691592	1.08098788220985	114	27
40	0.903270984292997	1.03786170690122	1.03551705440334	117	30
41	0.929597231142268	1.04329684415824	1.06547421356035	120	33
