"Frame"	"Average_mean_Ch1_ratio"	"Average_mean_Ch2_ratio"	"Average_mean_Ch3_ratio"	"Time"	"Time_offset"
2	1.01209299735549	0.831357702429925	1.02390924634333	3	-96
3	1.06723986179651	1.0726553425845	1.0462357963312	6	-93
4	1.09146965973596	1.13338569997329	1.02254914286443	9	-90
5	1.04887489233743	0.965093080796722	1.04396023651234	12	-87
6	1.04890173444188	0.921336376702699	1.03127125656077	15	-84
7	1.07878678744412	0.903510049477464	1.05321707859524	18	-81
8	1.07974155305453	0.822136473763185	1.0762291720893	21	-78
9	1.06971219940087	0.871376078874911	1.05515397120081	24	-75
10	1.08198140438225	0.843050011280933	1.08123549459139	27	-72
11	1.04842648737958	0.819096364767513	0.997549071555167	30	-69
12	1.06178323137035	0.790256928926366	1.07124343197774	33	-66
13	1.08287690253096	0.722969947480718	1.06737782644676	36	-63
14	1.07156747381043	0.859176429484915	1.02058112614636	39	-60
15	1.08997849451405	0.850696781806854	1.02316901244326	42	-57
16	1.07534434623945	0.870547742862044	1.01166973154322	45	-54
17	1.06011256582736	0.830825290836305	1.07455720582452	48	-51
18	1.07902106251344	0.763846291643073	1.08704473574309	51	-48
19	1.07093984019212	0.752196388246058	1.06492810499182	54	-45
20	1.04524076853234	0.721706773677195	1.04851137569522	57	-42
21	1.08302915745794	0.729185219804853	1.11074371786837	60	-39
22	1.08329659685693	0.695624279380265	1.12058540928131	63	-36
23	1.07048106169561	0.790964887990537	1.06483141233461	66	-33
24	1.07057246875882	0.815152933752947	1.08698300912292	69	-30
25	1.058123488208	0.97978762186641	1.01957691633476	72	-27
26	1.05921652418282	1.16215910993661	1.05010150703243	75	-24
27	1.03468759898242	1.09999956285773	1.05309488112113	78	-21
28	1.04155711063474	1.27569220316988	1.09645680512027	81	-18
29	1.05148401568819	1.20714731372945	1.04168496545993	84	-15
30	1.02744701977563	1.26725238703927	1.03602674049504	87	-12
31	1.04019168241878	1.33611340760062	1.00097076687475	90	-9
32	1.02760142283733	1.2524611978058	1.02746712264451	93	-6
33	1.02291295266565	1.10462853668436	1.14358309454413	96	-3
34	1.02568604287834	1.08893553202954	1.1924852975451	99	0
35	1.05245098014535	1.22816426146225	1.08096123592988	102	3
36	1.0611555898688	1.0231063330952	1.05313674576846	105	6
37	0.950091200799091	0.936731041655582	1.00846643982532	108	9
38	0.999051419708992	0.84974656285831	1.0458384460813	111	12
39	0.966727834264391	0.58520205390789	1.16037570421236	114	15
40	0.980130848181849	0.84285616084225	1.0265641744772	117	18
41	1.0173782973355	0.903704267414514	1.07710314775885	120	21
42	NA	NA	NA	123	24
