"Frame"	"Average_mean_Ch1"	"Average_mean_Ch2"	"Average_mean_Ch3"	"Time"	"Time_offset"
1	225.405586605446	652.970666734581	289.929508594254	0	-60
2	224.609552055241	656.79412707593	288.560981263576	3	-57
3	224.934448653636	680.421115408647	288.654688578428	6	-54
4	222.85155631641	673.366283528901	288.200294855729	9	-51
5	219.264761404569	647.447893038215	290.425364616285	12	-48
6	225.256626390969	664.039059329399	288.254202480597	15	-45
7	222.707587442519	662.851586841412	289.010076188202	18	-42
8	222.855769342513	780.755177079995	290.712014452102	21	-39
9	222.458408345892	669.229319794351	291.362973273964	24	-36
10	224.106410560967	668.822926049272	288.713127564497	27	-33
11	223.066151065171	634.706789682934	288.478660827101	30	-30
12	222.908660545944	681.438236796254	291.161886218129	33	-27
13	223.718978137464	672.894438860491	291.109611311052	36	-24
14	222.987196484829	668.531588198399	290.292531209119	39	-21
15	223.691950397847	673.630635360752	292.399872231404	42	-18
16	225.2869750619	653.325615759362	291.121278325964	45	-15
17	224.040526433435	661.093524699599	294.654277850608	48	-12
18	223.723544843244	675.059556205628	293.416604024427	51	-9
19	223.568103191844	670.993561944367	294.282394037829	54	-6
20	221.1380366534	666.62723243356	295.72784373591	57	-3
21	223.747905856574	752.813873671552	296.426078073831	60	0
22	219.951243142782	672.793536392529	294.037828162066	63	3
23	254.062397635385	729.287030533739	294.090344385766	66	6
24	210.753239209923	798.156037369443	293.855498171766	69	9
25	221.605167747399	831.476778828089	291.575886430824	72	12
26	227.75366592886	829.506910884473	291.142378320728	75	15
27	225.392599020975	816.470115338134	292.91553649793	78	18
28	225.238491685824	853.153223215983	293.219515305446	81	21
29	220.25564983129	850.39272010531	293.665511374066	84	24
30	220.399148099574	849.642586886706	296.260360246866	87	27
31	216.337522892508	854.861449304201	298.095745384994	90	30
32	218.287589932592	877.868313277191	300.888330186789	93	33
33	218.329187259448	962.553398613613	303.690874961773	96	36
34	217.056444520219	923.684496008053	301.43951632319	99	39
35	215.989530001883	896.044480729607	299.96626764162	102	42
