Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1496.0,309.80472606234525,55.186115624636315,3.4535698980475784,33.97510643788235,6.0520514844017725,1.7267849490237892,2.64057583E8,424.0,4095.0,2089.6913866510504,910.9909923486454,4095.0,4095.0,3623,126362,
1,obj2-val2,2,0,1161.0,3.6427454041915057,34.70057514001744,2.9548527438971663,0.39948603885599576,3.80548014493676,1.4774263719485832,4047710.0,479.0,3447.0,1436.8867589634363,575.746393920322,1047.0,1047.0,1573,2817,
2,obj3-val3,3,0,1927.0,217.57464918606482,209.52813602801373,5.094063572211181,23.86058456317374,22.9781540577605,2.5470317861055904,1.85557837E8,429.0,4095.0,1600.685250681481,779.6714473998958,4095.0,4095.0,3611,115924,
3,obj4-val4,4,0,4013.0,79.83763444459805,331.99449805019475,5.2548193360498106,8.755489828964384,36.40857436686356,2.6274096680249053,3.34894731E8,437.0,4095.0,2527.25944624301,1083.863259785481,4095.0,4095.0,3627,132513,
4,obj5-val5,5,0,3199.0,101.84802040978332,169.14368740977295,5.412248882133878,11.169285174860923,18.54934511840363,2.706124441066939,3187099.0,537.0,4095.0,1744.4438970990695,910.7557238355148,757.0,757.0,1329,1827,
5,obj6-val255,255,0,132.0,119.44949857360379,184.85134559625695,4.378703817141257,13.099572364732644,20.271944271614323,2.1893519085706283,342822.0,1029.0,4095.0,2577.6090225563908,1002.5843184867556,4095.0,4095.0,120,133,
