Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,426.0,176.24528209762985,174.5900203346345,4.753894106888789,19.32815000774571,19.14662374345945,2.3769470534443946,1.52563352E8,185.0,2323.0,746.6152099442106,259.3319635112387,679.0,679.0,1621,204340,
1,obj2-val2,2,0,708.0,94.39388295082087,227.37798409801357,4.425675642645642,10.35181826016999,24.935679030947096,2.212837821322821,7977997.0,200.0,1576.0,652.1168056236718,251.07849183949745,376.0,376.0,1137,12234,
2,obj3-val255,255,0,824.0,123.79020192748968,201.08497016980266,4.0,13.575600798313957,22.052224158783787,2.0,43580.0,552.0,1233.0,990.4545454545455,147.59615778471937,978.0,978.0,43,44,
