Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1652.0,298.5240506515075,1.329061846631146,4.699655498698855,32.73799765440534,0.14575315966204672,2.3498277493494273,1497527.0,201.0,4095.0,907.5921212121212,727.8444306026071,403.0,403.0,974,1650,
1,obj2-val2,2,0,895.0,142.86742203241417,141.75314337053152,5.203246968362296,15.667726996134723,15.545528291744057,2.601623484181148,1.80842107E8,177.0,4095.0,1124.8358358420621,594.4674736799383,501.0,501.0,3019,160772,
2,obj3-val3,3,0,918.0,189.88346749402163,95.53629609024196,2.6797545120191435,20.823797948147806,10.47710236574576,1.3398772560095717,632699.0,173.0,1362.0,484.45558958652373,237.94467292810495,246.0,246.0,606,1306,
3,obj4-val4,4,0,2166.0,1.5541769562224659,174.8799024687443,3.601647078015849,0.17044067784923375,19.178414014983066,1.8008235390079246,2402922.0,270.0,3639.0,1034.8501291989664,577.5083451987672,457.0,457.0,1251,2322,
4,obj5-val5,5,0,1744.0,354.9418082024493,364.9271089046337,4.4088859753495395,38.92511862619501,40.02016859035439,2.2044429876747698,9.4890315E7,148.0,4095.0,1285.6895196802384,751.0649103038809,463.0,463.0,3344,73805,
5,obj6-val255,255,0,1090.0,217.8384289700115,237.7785105262131,3.9742161434452616,23.889512289195412,26.07626522180132,1.9871080717226308,102506.0,162.0,2426.0,883.6724137931035,580.5928271039504,185.0,185.0,113,116,
