Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,260.0,313.86158252253995,210.99053115402387,7.03010806709866,34.420006461810935,23.138529371242438,3.51505403354933,5.8160625E7,130.0,1287.0,316.34824585259724,131.39921632643473,218.0,218.0,952,183850,
1,obj2-val2,2,0,321.0,210.01188247923108,198.89226849659656,5.510595396582599,23.03120469187429,21.811758902877045,2.7552976982912996,2420202.0,156.0,1463.0,459.0671471927162,237.3145783808967,209.0,209.0,934,5272,
2,obj3-val255,255,0,585.0,233.12256737513843,193.3285164284584,4.415378935710142,25.565665638195686,21.20160336680255,2.207689467855071,18961.0,206.0,789.0,430.9318181818182,192.07295098202383,237.0,237.0,39,44,
