Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,170.0,269.97104663639925,131.39754538761693,5.030021761953431,29.606698261834545,14.40986923266747,2.5150108809767153,1294461.0,111.0,265.0,147.56737346101232,15.115279976879274,141.0,141.0,125,8772,
1,obj2-val2,2,0,493.0,188.754600269816,222.5316114454022,4.904957517135033,20.699999371592508,24.404195767915862,2.4524787585675165,1.50000006E8,139.0,2331.0,726.6738009882763,291.0459190416672,788.0,788.0,1688,206420,
2,obj3-val255,255,0,816.0,206.60241756434505,196.05155826001152,5.0,22.657301637354177,21.500229011535954,2.5,12161.0,133.0,443.0,276.3863636363636,108.52161201733705,147.0,147.0,37,44,
