Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,198.0,241.8195808841221,238.6014332474828,5.951487556841591,26.519434043910575,26.166512027912546,2.9757437784207954,9.1302864E7,130.0,394.0,202.4265234723152,23.463885478272335,196.0,196.0,219,451042,
1,obj2-val2,2,0,282.0,118.4115760243867,208.14297511815244,4.180494991519827,12.985747344914088,22.826248727121158,2.0902474957599133,1149151.0,171.0,401.0,263.9905812083621,37.686413547131195,261.0,261.0,204,4353,
2,obj3-val3,3,0,185.0,49.31567793723673,206.85983232245414,5.562129745114772,5.408262902473491,22.685531335191897,2.781064872557386,807383.0,135.0,320.0,203.88459595959597,27.72048747229795,196.0,196.0,159,3960,
3,obj4-val4,4,0,218.0,156.40907539066944,112.20145905832041,7.568439777906886,17.152788634926647,12.304707427946063,3.784219888953443,667828.0,143.0,350.0,224.10335570469798,38.0048148326971,184.0,184.0,183,2980,
4,obj5-val255,255,0,201.0,132.09360911176145,174.86312584038598,5.308431543146405,14.486203894878528,19.17657418593531,2.6542157715732024,25286.0,167.0,345.0,245.49514563106797,44.58520676725171,202.0,202.0,74,103,
