 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,117.645,2.213,110,126,565.951,47058,1
2,4.811,131.343,2.766,123,139,631.845,52537,2
3,4.811,161.385,3.727,151,173,776.370,64554,3
4,4.811,128.220,2.464,119,135,616.824,51288,4
