Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,442.0,8.022735461111479,30.383767462023865,4.0424531786423845,0.8798228957920509,3.3320722592798293,2.0212265893211923,6172824.0,146.0,1183.0,385.65687867049854,194.98748629376874,192.0,192.0,846,16006,
1,obj2-val2,2,0,158.0,286.20655215354157,109.04030854040559,7.106878253157223,31.38718442493695,11.95803606925701,3.5534391265786116,669734.0,115.0,224.0,148.30248007085916,12.381306348414592,146.0,146.0,89,4516,
2,obj3-val3,3,0,416.0,285.6816099240031,215.28079983215102,4.761533420701931,31.32961600643994,23.609026825684595,2.3807667103509655,9.0357408E7,150.0,1713.0,534.1850901566656,235.6609249358981,344.0,344.0,1315,169150,
3,obj4-val255,255,0,150.0,197.07971610779674,126.86381403003497,5.403826373174244,21.612983173673612,13.912672151808174,2.701913186587122,19444.0,131.0,422.0,262.7567567567568,97.60920274528505,144.0,144.0,58,74,
