Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,265.0,311.46252595265685,182.9169441012762,5.211681050574154,34.15691104894149,20.05980581420311,2.605840525287077,5.9214554E7,140.0,572.0,268.5089805968322,44.77202433427415,270.0,270.0,348,220531,
1,obj2-val2,2,0,174.0,105.7676022612645,251.22271274463137,5.3825620422665175,11.599130814366326,27.550639764593978,2.6912810211332587,5.4867354E7,138.0,546.0,242.41978155983247,37.296422157878744,231.0,231.0,339,226332,
2,obj3-val3,3,0,446.0,51.94896908138385,176.84457627578954,6.521227444618802,5.6970459305488195,19.393872321763865,3.260613722309401,1509673.0,169.0,597.0,324.6608602150538,74.54001796081954,324.0,324.0,361,4650,
3,obj4-val255,255,0,230.0,122.10222672064778,187.75801282051282,5.561656545209177,13.3904869750167,20.590707415026554,2.7808282726045883,23712.0,166.0,560.0,320.43243243243245,118.31882642738182,182.0,182.0,64,74,
