 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,115.888,2.085,109,122,557.497,46355.000,1
2,4.811,119.323,2.218,113,128,574.021,47729.000,2
3,4.811,138.542,3.042,131,147,666.482,55417.000,3
4,4.811,121.203,2.181,114,127,583.065,48481.000,4
