 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,117.892,2.060,112,124,567.142,47157,1
2,4.811,117.618,2.208,111,125,565.819,47047,2
3,4.811,146.838,5.116,135,166,706.387,58735,3
4,4.811,123.668,2.539,116,132,594.924,49467,4
