Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,722.0,204.7651567883946,158.38800122783996,6.362434220675102,22.45581623327257,17.369809907665445,3.181217110337551,2.46944234E8,155.0,3885.0,976.0680239842845,616.1663555890826,387.0,387.0,3135,252999,
1,obj2-val2,2,0,4095.0,306.1996224854054,185.7703968113216,5.1750167178642785,33.57974843510782,20.372733124162053,2.5875083589321393,4916896.0,161.0,4095.0,1127.7284403669726,1160.271538184109,4095.0,4095.0,1731,4360,
2,obj3-val3,3,0,540.0,320.58172095244925,1.9853941904221937,10.412022121157586,35.156978493630504,0.2177306324473979,5.206011060578793,739021.0,161.0,2352.0,457.59814241486066,318.59868223005594,220.0,220.0,639,1615,
3,obj4-val255,255,0,919.0,288.72829249150914,173.97653681176678,5.183578474486827,31.66373410021178,19.079345337954678,2.5917892372434137,73903.0,272.0,4095.0,1679.6136363636363,1422.9888658622262,4095.0,4095.0,37,44,
