Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,211.0,216.89637812878786,9.144396171413844,10.39347462907717,23.7862011550908,1.0028311613665553,5.196737314538585,6743586.0,115.0,515.0,189.7196792797862,51.853617849861834,165.0,165.0,352,35545,
1,obj2-val2,2,0,237.0,303.18724768463545,98.53211543463266,7.054607547127139,33.249392743676694,10.80564248321917,3.5273037735635695,530586.0,119.0,296.0,167.53583833280706,30.94926707968721,149.0,149.0,163,3167,
2,obj3-val3,3,0,534.0,281.4262090109685,193.94500291169552,8.705389957277967,30.86294236722916,21.26921109555386,4.352694978638984,8.2530951E7,117.0,833.0,323.62286783101064,110.25476104966663,281.0,281.0,642,255022,
3,obj4-val255,255,0,134.0,271.64701609974577,123.43941411451398,8.826171165718437,29.790495460888184,13.5371312325509,4.413085582859218,24783.0,125.0,558.0,339.4931506849315,130.23463049516857,419.0,419.0,67,73,
