Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,275.0,270.05866229797425,131.28915622356914,5.074645992928341,29.616306738327047,14.397982605139083,2.5373229964641704,2063165.0,152.0,373.0,235.19892840857273,26.682639923340627,230.0,230.0,173,8772,
1,obj2-val2,2,0,209.0,188.73886633056566,222.1715411049562,5.084082170792667,20.698273890294942,24.364708222657057,2.5420410853963333,4.2996202E7,133.0,381.0,208.2947485708749,24.348710686155666,201.0,201.0,214,206420,
2,obj3-val255,255,0,211.0,228.74162836506895,171.58305975049245,5.0,25.08522471317562,18.816861808581212,2.5,9138.0,161.0,299.0,207.6818181818182,40.87802202882899,172.0,172.0,34,44,
