Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,193.0,218.44554276291066,136.94086611891555,6.125367247519916,23.956092150632077,15.017784141710173,3.062683623759958,3.5524406E7,113.0,536.0,229.39098822192375,54.42620435455956,175.0,175.0,372,154864,
1,obj2-val2,2,0,359.0,312.9844319660015,113.5851761522421,3.7584138213765255,34.32381269517858,12.45645442078066,1.8792069106882627,958631.0,123.0,628.0,274.6006874820968,91.3142710161877,163.0,163.0,400,3491,
2,obj3-val255,255,0,255.0,283.24094043887146,114.31905956112853,3.680501567398119,31.061957063366386,12.536936624027922,1.8402507836990596,15950.0,206.0,468.0,362.5,63.47367152405938,264.0,264.0,40,44,
