 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,121.287,2.904,114,132,583.474,48515,1
2,4.811,153.373,10.247,136,200,737.824,61349,2
3,4.811,157.965,5.771,145,200,759.917,63186,3
4,4.811,132.720,2.925,123,141,638.472,53088,4
