Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1221.0,165.81659005846615,102.40367902307393,4.7490351940359945,18.184475001421948,11.230222142381153,2.3745175970179973,3279675.0,174.0,2829.0,814.623695976155,528.5068005578328,331.0,331.0,1509,4026,
1,obj2-val2,2,0,670.0,196.08298983990514,228.37789881252945,4.89152859629845,21.50367599340085,25.045335876038752,2.445764298149225,1.71075568E8,171.0,3080.0,765.5209865936387,357.4571554622355,432.0,432.0,2152,223476,
2,obj3-val255,255,0,541.0,181.1945987613301,152.76127694638632,4.0,19.870922749082652,16.752748448375332,2.0,37621.0,449.0,1726.0,855.0227272727273,332.15606367225854,575.0,575.0,43,44,
