Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,190.0,262.94540113161946,199.75367641481927,3.3280145758786737,28.836222430643748,21.906226234218405,1.6640072879393368,593309.0,142.0,296.0,199.0969798657718,19.97745433511433,196.0,196.0,120,2980,
1,obj2-val2,2,0,210.0,221.95193942403444,289.05419001516685,6.154369604894906,24.34062534123015,31.699474042577556,3.077184802447453,5.3299819E7,130.0,339.0,202.68017492157048,24.09390833972522,202.0,202.0,193,262975,
2,obj3-val3,3,0,193.0,397.06321113747885,361.32694659799137,8.074394421514787,43.54441274161973,39.625352477906794,4.037197210757394,205217.0,151.0,266.0,199.43343051506318,17.556653432732666,196.0,196.0,93,1029,
3,obj4-val4,4,0,200.0,395.8719618989092,361.1055461668459,11.0,43.4137729667239,39.601072334381655,5.5,97635.0,149.0,252.0,186.6826003824092,16.93017617320346,181.0,181.0,83,523,
4,obj5-val255,255,0,234.0,315.05612022198665,296.49454386730685,7.222485502275987,34.551006869708516,32.51542936151318,3.6112427511379934,16037.0,150.0,235.0,188.6705882352941,16.8101359979301,184.0,184.0,45,85,
