 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,115.560,2.184,109,122,555.921,46224,1
2,4.811,146.822,5.378,136,166,706.315,58729,2
3,4.811,143.507,7.966,133,190,690.367,57403,3
4,4.811,120.763,2.318,114,128,580.949,48305,4
