Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,960.0,19.866427528651084,16.114288313084234,6.997307430083791,2.17867557543511,1.7671927331979578,3.4986537150418955,1.8634985E7,150.0,2896.0,812.512971441029,464.06812208604646,294.0,294.0,1997,22935,
1,obj2-val2,2,0,239.0,192.09482401486727,184.3199081075206,7.0884011349177385,21.06630901026994,20.213663542735887,3.5442005674588692,2.74933054E8,135.0,4095.0,753.1855287417095,414.1549020879865,307.0,307.0,2408,365027,
2,obj3-val3,3,0,224.0,320.55510862729744,292.2565536294134,4.738018960832473,35.15406002111046,32.05066508485021,2.3690094804162367,1011348.0,108.0,366.0,148.443857331572,22.762592339539246,141.0,141.0,178,6813,
3,obj4-val255,255,0,304.0,113.34087759815243,95.52688881557242,5.68287693830419,12.429663127170286,10.47607070569896,2.841438469152095,30310.0,138.0,1573.0,409.5945945945946,385.8990896175341,148.0,148.0,65,74,
