Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,275.0,177.19340483545383,244.504400441109,5.797129186077081,19.432127023665288,26.81386799711238,2.8985645930385404,3.8220032E7,124.0,628.0,246.59198802526566,49.93748173708015,250.0,250.0,366,154993,
1,obj2-val2,2,0,349.0,274.17798760497595,295.7894642295774,4.650940854178829,30.068057483180052,32.43810595833752,2.3254704270894146,623476.0,146.0,517.0,321.04840370751805,88.72167157890173,363.0,363.0,335,1942,
2,obj3-val3,3,0,155.0,190.23911160874394,391.9866251454264,0.050000437372615225,20.862800086059885,42.98768285691702,0.025000218686307613,228638.0,125.0,202.0,159.10786360473207,10.92294743826241,157.0,157.0,67,1437,
3,obj4-val4,4,0,273.0,187.06174731491768,396.90894027048773,8.942910871869532,20.514350624210973,43.52749444217057,4.471455435934766,313212.0,187.0,357.0,246.04241948153967,25.08876865014498,243.0,243.0,132,1273,
4,obj5-val255,255,0,255.0,220.56318174834843,322.0333384544477,4.446151482562605,24.188325566957623,35.31617186606332,2.2230757412813027,26036.0,141.0,455.0,252.7766990291262,81.99903538873512,157.0,157.0,84,103,
