Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,189.0,8.800097686644664,32.6396355086331,5.014518022723701,0.9650732555556527,3.5794647312008117,2.5072590113618505,3245070.0,139.0,307.0,202.74084718230662,23.710435611677056,209.0,209.0,147,16006,
1,obj2-val2,2,0,142.0,286.2560436099207,108.91170062746113,7.09243191177643,31.39261196479284,11.943932128408274,3.546215955888215,765147.0,127.0,224.0,169.4302480070859,12.724989828680771,172.0,172.0,82,4516,
2,obj3-val3,3,0,171.0,284.59474490694475,215.81193558680854,5.475948995752622,31.2104236522512,23.667274464533794,2.737974497876311,3.0911308E7,123.0,279.0,182.7449482707656,17.646782670447504,178.0,178.0,151,169150,
3,obj4-val255,255,0,198.0,214.8794493459081,121.53308487982963,5.72299969577122,23.565012243782267,13.3280713531964,2.86149984788561,13148.0,147.0,217.0,177.67567567567568,18.351296552386927,164.0,164.0,39,74,
