 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,120.903,2.611,112,136,581.622,48361,1
2,4.811,146.808,3.192,138,157,706.242,58723,2
3,4.811,153.290,4.183,142,168,737.428,61316,3
4,4.811,134.225,2.873,127,143,645.712,53690,4
