 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,114.035,2.264,108,120,548.585,45614.000,1
2,4.811,129.833,2.772,123,140,624.581,51933.000,2
3,4.811,132.460,3.008,124,141,637.221,52984.000,3
4,4.811,118.593,2.192,111,125,570.509,47437.000,4
