Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,324.0,255.32185925556794,188.07196225533067,5.407409346807653,28.000177577601768,20.62513705591558,2.7037046734038266,1.03162859E8,198.0,3979.0,652.4050857854762,377.79688123426047,348.0,348.0,2737,158127,
1,obj2-val2,2,0,868.0,334.92189765618315,199.84545169191605,4.526742300920897,36.72961115175643,21.916290879930433,2.2633711504604483,3013802.0,279.0,3223.0,1125.813223757938,609.6378365131834,335.0,335.0,1437,2677,
2,obj3-val3,3,0,846.0,320.05619675844497,217.1518260503812,4.3748345990071025,35.099346253303146,23.814215157445698,2.1874172995035512,2134963.0,300.0,3129.0,1190.0574136008918,618.2577896113963,392.0,392.0,1174,1794,
3,obj4-val4,4,0,444.0,265.7047720325102,355.0502427007373,5.53611297347326,29.13883214628925,38.937010225357156,2.76805648673663,3481242.0,191.0,2118.0,574.8418097754293,292.4736248185375,452.0,452.0,1158,6056,
4,obj5-val5,5,0,131.0,377.8764345327678,9.272116568614038,8.948310302366945,41.44027189899829,1.0168377717379282,4.4741551511834725,365450.0,107.0,187.0,134.30723998529953,9.593064808302051,130.0,130.0,64,2721,
5,obj6-val255,255,0,1456.0,318.6116438744822,212.5533961300573,3.553244812650135,34.94092763067081,23.30992283119272,1.7766224063250675,105738.0,125.0,2209.0,819.6744186046511,608.8220589126224,131.0,131.0,113,129,
