 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,123.655,2.809,115,133,594.863,49462,1
2,4.811,141.572,7.007,130,187,681.059,56629,2
3,4.811,403.433,24.471,345,492,1940.781,161373,3
4,4.811,144.720,4.202,132,161,696.200,57888,4
