Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1417.0,255.16215341268526,179.71305588790563,5.493594984335773,27.982663245010215,19.70844757494101,2.7467974921678864,1.76371934E8,155.0,4095.0,1115.3815224471468,701.955479572638,455.0,455.0,3575,158127,
1,obj2-val2,2,0,742.0,334.9931643083369,199.65798645005762,4.475452694323437,36.737426694544205,21.895732279593712,2.2377263471617184,2371523.0,168.0,3992.0,885.888307807247,652.5127153157571,221.0,221.0,1377,2677,
2,obj3-val3,3,0,2242.0,319.6767741175873,216.91401402256446,4.213980085834532,35.05773641483513,23.788135216510078,2.106990042917266,2165795.0,171.0,4095.0,1207.2435897435898,1048.9780399803444,4095.0,4095.0,1178,1794,
3,obj4-val4,4,0,468.0,266.9758460808712,355.3542561368242,5.481718021865207,29.27822600458308,38.97035022304176,2.7408590109326036,5953568.0,161.0,4095.0,983.0858652575957,777.0523731667683,4095.0,4095.0,2050,6056,
4,obj5-val5,5,0,681.0,377.99460394704744,8.283649322134318,8.601093793278023,41.45323108938535,0.9084363269428264,4.300546896639012,2180668.0,168.0,4072.0,801.4215361999265,552.5017585472342,255.0,255.0,1267,2721,
5,obj6-val255,255,0,152.0,313.75190609161496,171.20752107423908,5.0326420924552915,34.40797866461828,18.77567790974462,2.5163210462276457,114239.0,159.0,2113.0,885.5736434108527,475.81740154433515,674.0,674.0,128,129,
