 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,120.132,2.396,110,129,577.918,48053,1
2,4.811,164.602,10.832,144,194,791.848,65841,2
3,4.811,335.740,18.074,293,420,1615.134,134296,3
4,4.811,138.135,3.083,127,147,664.522,55254,4
