Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1764.0,395.7219985738536,9.142456324267371,4.394090672044871,43.39732705902165,1.0026184257052493,2.1970453360224353,1503352.0,297.0,2983.0,1043.269951422623,569.1694521582014,431.0,431.0,954,1441,
1,obj2-val2,2,0,583.0,210.42796629828072,110.39433592478362,3.4178402657649807,23.07683502236979,12.106527104525444,1.7089201328824903,2564973.0,261.0,2609.0,970.1108169440242,497.3440889783535,499.0,499.0,1279,2644,
2,obj3-val3,3,0,471.0,188.27236683250865,248.44790591930473,4.8072769169538345,20.647114663961784,27.246337249802572,2.4036384584769173,1.62213257E8,265.0,4095.0,1098.2989065303498,568.8105775160925,703.0,703.0,3388,147695,
3,obj4-val4,4,0,1535.0,340.69026636119935,261.7921473441315,6.297271427659051,37.362206216450296,28.70974947241034,3.1486357138295253,1.70762634E8,251.0,4095.0,1234.4316540521784,604.3110267899895,440.0,440.0,3380,138333,
4,obj5-val5,5,0,1237.0,340.84246113109435,363.53211600721903,6.229026078245836,37.37889683822419,39.86718502302102,3.114513039122918,2793171.0,310.0,3326.0,1043.3959656331715,568.7704070080058,435.0,435.0,1349,2677,
5,obj6-val255,255,0,514.0,298.7707036913755,211.48977438773264,4.570377600126374,32.76504715551933,23.193279478573707,2.285188800063187,177251.0,671.0,2429.0,1363.4692307692308,501.2232352994571,787.0,787.0,123,130,
