Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1857.0,394.9770447300792,127.37892120650473,4.567195107496574,43.31563080326972,13.969161997427749,2.283597553748287,8090909.0,136.0,3356.0,791.5191743298767,666.5067658552404,340.0,340.0,2240,10222,
1,obj2-val2,2,0,2041.0,4.865442646481617,124.41045295725596,2.8907304871108765,0.5335745967553739,13.643621370570413,1.4453652435554383,4575796.0,166.0,3649.0,1023.8970686954576,593.2749850154069,613.0,613.0,1823,4469,
2,obj3-val3,3,0,1136.0,87.82987259024078,150.09939402675494,5.351332036646686,9.631968200118964,16.46082986898782,2.675666018323343,2136728.0,136.0,1723.0,373.4232785739252,240.4378423315411,201.0,201.0,930,5722,
3,obj4-val4,4,0,1832.0,144.28234372417495,262.71807733843485,5.256082994982511,15.822896078575278,28.81129269452424,2.6280414974912554,2.1393968E8,136.0,4095.0,1097.346033309226,609.5430189409551,461.0,461.0,3222,194961,
4,obj5-val5,5,0,576.0,1.2830358559988457,207.04625351706227,1.8716773681552556,0.1407056642590015,22.70597543883612,0.9358386840776278,346525.0,166.0,2171.0,558.011272141707,371.9070490035653,183.0,183.0,442,621,
5,obj6-val6,6,0,189.0,52.57580684897758,158.18782335550628,5.977334318797733,5.765788845300209,17.347857161477584,2.9886671593988665,487080.0,123.0,431.0,191.0867006669282,39.4701059263062,176.0,176.0,210,2549,
6,obj7-val7,7,0,1713.0,193.83070474990907,329.6073013994379,6.422640020702922,21.256676450709328,36.14677958623359,3.211320010351461,552579.0,172.0,2024.0,823.51564828614,419.74918521196554,497.0,497.0,529,671,
7,obj8-val255,255,0,163.0,140.75346606751046,185.45818681792485,4.267426151443436,15.435897482668404,20.33849424120037,2.133713075721718,208738.0,172.0,2670.0,1110.3085106382978,711.5037780907014,203.0,203.0,174,188,
