 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,121.362,2.298,115,129,583.835,48545,1
2,4.811,137.380,10.469,120,172,660.890,54952,2
3,4.811,213.810,7.600,193,243,1028.569,85524,3
4,4.811,129.030,2.738,122,138,620.721,51612,4
