 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,118.013,2.343,110,137,567.719,47205.000,1
2,4.811,160.708,5.630,145,176,773.111,64283.000,2
3,4.811,321.428,31.702,264,397,1546.282,128571.000,3
4,4.811,138.433,3.429,129,149,665.953,55373.000,4
