 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,111.450,1.873,106,121,536.149,44580.000,1
2,4.811,108.345,1.682,102,114,521.212,43338.000,2
3,4.811,238.178,11.302,216,292,1145.793,95271.000,3
4,4.811,139.018,2.864,130,148,668.767,55607.000,4
