Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,638.0,165.5037672088195,207.52169364778277,5.974388323668123,18.1501689088454,22.758115150361434,2.9871941618340614,9.4841703E7,201.0,4095.0,564.9845888982879,225.53415965596912,307.0,307.0,1177,167866,
1,obj2-val2,2,0,4095.0,115.22980939695954,263.88659654924294,6.643515669253969,12.63681509587672,28.93943975369443,3.3217578346269847,4898925.0,349.0,4095.0,3086.9092627599243,1322.819799243177,4095.0,4095.0,641,1587,
2,obj3-val3,3,0,4095.0,172.57619835116571,298.8929441947533,4.988340317734156,18.925775543030355,32.778452806769614,2.494170158867078,2.0283057E7,418.0,4095.0,2809.287673130194,1333.6471352895337,4095.0,4095.0,2140,7220,
3,obj4-val255,255,0,678.0,148.85596541428217,272.2771087335158,3.940812391142075,16.32446778054063,29.85959532443821,1.9704061955710375,160760.0,357.0,3995.0,2172.4324324324325,1165.9625817098195,435.0,435.0,73,74,
