 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,116.010,2.150,110,122,558.086,46404.000,1
2,4.811,122.862,4.126,112,136,591.051,49145.000,2
3,4.811,275.845,12.487,250,334,1326.999,110338.000,3
4,4.811,135.627,3.000,127,147,652.459,54251.000,4
