Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1168.0,146.14360687723723,9.199756973723641,5.557443042091574,16.027013732098336,1.0089023700755646,2.778721521045787,1.5453473E7,455.0,1978.0,1006.0854817708333,225.8879314170977,1021.0,1021.0,1089,15360,
1,obj2-val2,2,0,791.0,319.7083534469808,54.079214872560264,4.471621514325528,35.06119959982594,5.930661887328977,2.235810757162764,1.6801196E8,462.0,3812.0,1085.5449306076034,182.94531520129425,1037.0,1037.0,1462,154772,
2,obj3-val3,3,0,1217.0,10.063573786347847,99.48532668362554,4.256083822934408,1.1036338757073851,10.910177536812261,2.128041911467204,1.7871863E7,391.0,4095.0,995.979881854659,278.47171270061926,1087.0,1087.0,1350,17944,
3,obj4-val4,4,0,1075.0,187.08957028109302,247.3594951712729,4.507062300247412,20.51740186312924,27.1269753811748,2.253531150123706,1.43660842E8,389.0,2779.0,961.4372753859848,190.58681663581248,1000.0,1000.0,1313,149423,
4,obj5-val5,5,0,985.0,92.09240278273535,355.9962859312178,4.551597981463692,10.099423680302783,39.040759189612615,2.275798990731846,1.36121604E8,468.0,2086.0,1104.022871788217,185.99508113285435,1093.0,1093.0,1376,123296,
5,obj6-val6,6,0,1243.0,381.7619433950633,350.983379760596,5.443633544137938,41.866380883324304,38.491012828817205,2.721816772068969,3.422917E7,437.0,1994.0,1160.8617649053788,230.72702786836481,1208.0,1208.0,1301,29486,
6,obj7-val7,7,0,1485.0,143.71797010825367,117.37131404406051,5.594277917336852,15.761003369850751,12.871665768580252,2.797138958668426,2766650.0,490.0,2110.0,1193.5504745470232,378.6955244169293,735.0,735.0,1095,2318,
7,obj8-val255,255,0,1145.0,191.24582648035894,193.29109105564538,4.424378107134704,20.973202678526583,21.197499068456423,2.212189053567352,214627.0,771.0,1740.0,1160.1459459459459,228.55078709046467,891.0,891.0,166,185,
