Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,567.0,54.018862732688525,65.63288284095884,4.5883024673623005,5.924043297606484,7.197708726683194,2.2941512336811503,1235611.0,104.0,887.0,252.2169830577669,167.48143022616628,135.0,135.0,652,4899,
1,obj2-val2,2,0,221.0,225.36349660829916,254.9651808963579,4.6702633398110525,24.714757846978276,27.961062018028894,2.3351316699055262,7.6442031E7,97.0,907.0,196.61623043921108,69.49549238142444,134.0,134.0,613,388788,
2,obj3-val255,255,0,244.0,132.23950902898272,142.16104363472783,4.0,14.502204184092559,15.59026116289245,2.0,15561.0,156.0,750.0,353.65909090909093,178.2903228382264,245.0,245.0,39,44,
