 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,122.888,3.010,115,133,591.171,49155,1
2,4.811,135.928,3.267,127,147,653.902,54371,2
3,4.811,461.998,18.572,416,517,2222.518,184799,3
4,4.811,143.070,3.697,134,154,688.263,57228,4
