Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,600.0,194.01666733108704,158.46697448024943,7.168603325280438,21.2770702599623,17.378470604002974,3.584301662640219,1.55122676E8,202.0,3992.0,665.86543843684,229.60118313113946,800.0,800.0,1290,232964,
1,obj2-val2,2,0,4095.0,222.09632303918283,312.2436648246152,4.007451500384041,24.35645934336079,34.242575579159826,2.0037257501920207,1.1285244E7,3631.0,4095.0,4094.7910014513786,8.974608603036364,4095.0,4095.0,4,2756,
2,obj3-val255,255,0,395.0,221.52626541114103,290.35789843986487,4.190914073940752,24.293943290637472,31.842446788849237,2.095457036970376,122233.0,582.0,4095.0,2778.0227272727275,1679.3770645846198,4095.0,4095.0,17,44,
