 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,Ch
1,4.811,115.995,2.923,109,137,558.014,46398.000,1
2,4.811,120.888,2.976,113,135,581.550,48355.000,2
3,4.811,373.700,30.117,313,477,1797.747,149480.000,3
4,4.811,142.458,4.867,132,166,685.316,56983.000,4
