Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,1846.0,142.00281716591277,136.25568985893088,4.405891438011445,15.572909067630352,14.942643466299673,2.2029457190057227,2.82218025E8,162.0,4095.0,2074.3394069914443,1179.9639924964822,4095.0,4095.0,3925,136052,
1,obj2-val2,2,0,221.0,253.10428473025118,144.7451558794903,3.800310072478934,27.756984610569976,15.873650928049138,1.900155036239467,1968572.0,132.0,1587.0,229.0368819080861,105.03379295322274,192.0,192.0,500,8595,
2,obj3-val255,255,0,3447.0,170.63959139962105,130.2784688469671,3.0,18.71339522158286,14.287144363153812,1.5,36417.0,211.0,2301.0,827.6590909090909,704.2350276019221,225.0,225.0,42,44,
